Sample	posterior	likelihood	prior	treeLikelihood.dna	Tree.height	YuleModel	birthRate	monophyletic(TaxonSet.dna)	logP(mrca(TaxonSet.dna))	mrca.age(TaxonSet.dna)	clockRate	Tree.treeLength
0	-674.400838814569	NaN	-674.400838814569	NaN	0.643496600502674	-3.7733011907404	1	0	-666.02236743784	0.643496600502674	0.902860587543954	4.41679779124485
100000	-69.9330718507646	NaN	-69.9330718507646	NaN	28.2573398648651	-62.5576703876621	0.043480960270893	0	-2.77023127711444	28.2573398648651	2.01590653786087	235.211051236514
200000	-60.8211215711372	NaN	-60.8211215711372	NaN	25.0708141969972	-54.374829235856	0.114636477783682	0	-1.8411221492931	25.0708141969972	4.54760725630984	145.807380426687
300000	-52.2334367000083	NaN	-52.2334367000083	NaN	22.7668046693051	-45.4943570475389	0.265030012063613	0	-2.13390946648135	22.7668046693051	57.1604278231368	99.2514288061841
400000	-69.6942528706995	NaN	-69.6942528706995	NaN	29.0185597976139	-61.9180726285974	0.075907497902704	0	-3.17101005611397	29.0185597976139	4.47392965630098	226.465013232983
500000	-70.9053019256483	NaN	-70.9053019256483	NaN	24.0939542908299	-64.4508893869532	0.007149260371671	0	-1.84924235270705	24.0939542908299	11.5621598573958	279.963086261042
600000	-56.4090902107072	NaN	-56.4090902107072	NaN	28.2917771763927	-49.0168703598531	0.272898845263945	0	-2.787049664866	28.2917771763927	69.4794984991492	117.510661138043
700000	-68.1761961679088	NaN	-68.1761961679088	NaN	23.1806206116719	-61.5624257984547	0.052124519402973	0	-2.00860018346605	23.1806206116719	40.3667612601446	213.058793177143
800000	-66.3140941151882	NaN	-66.3140941151882	NaN	21.9256963879964	-59.2083806318964	0.073593927457216	0	-2.50054329730372	21.9256963879964	90.1594842599703	182.898027905485
900000	-73.209414447362	NaN	-73.209414447362	NaN	26.1144634738459	-66.6072379237292	0.088210240494529	0	-1.99700633764469	26.1144634738459	29.8215697869557	274.068923251548
1000000	-62.1426542380615	NaN	-62.1426542380615	NaN	22.790619209505	-55.4117344599783	0.131012743856261	0	-2.12574959209507	22.790619209505	92.4580783197582	153.860161250893
1100000	-69.6516189089044	NaN	-69.6516189089044	NaN	26.82861485335	-62.85490956551	0.076217684506848	0	-2.19153915740626	26.82861485335	56.7905275138764	236.515949360765
1200000	-60.1617882185499	NaN	-60.1617882185499	NaN	24.0493906261315	-53.7031472341482	0.165498857641464	0	-1.85347079841354	24.0493906261315	53.4651178917362	142.836729355923
1300000	-67.8199565816374	NaN	-67.8199565816374	NaN	23.284641593123	-61.2322984875824	0.060536793421514	0	-1.98248790806684	23.284641593123	10.7524750585458	210.272753878053
1400000	-61.7689881532839	NaN	-61.7689881532839	NaN	24.2248375422151	-55.324980535898	0.117352782790459	0	-1.83883743139779	24.2248375422151	62.8036117239886	153.635323981224
1500000	-63.0093129537196	NaN	-63.0093129537196	NaN	25.436954778327	-56.526661095666	0.156009341497348	0	-1.87748167206548	25.436954778327	39.8946589679662	162.638912600905
1600000	-65.2554258505072	NaN	-65.2554258505072	NaN	26.6180271126317	-58.5230618727764	0.083672440914724	0	-2.1271937917427	26.6180271126317	51.2335346766292	181.951903487657
1700000	-60.0957624971772	NaN	-60.0957624971772	NaN	22.2823211249018	-53.1645403531542	0.126920520044717	0	-2.32605195803484	22.2823211249018	74.2390638843009	135.513996796197
1800000	-69.7369014782294	NaN	-69.7369014782294	NaN	25.4199670391737	-63.2563869564528	0.048495266904568	0	-1.87534433578854	25.4199670391737	19.9737521735355	248.281662634924
1900000	-61.9263793885572	NaN	-61.9263793885572	NaN	22.2590657144993	-54.9846519788765	0.158575714546305	0	-2.33655722369256	22.2590657144993	29.1904955593064	149.38829951705
2000000	-64.0054350631209	NaN	-64.0054350631209	NaN	25.1359301213599	-57.5541817344914	0.077165421357997	0	-1.84608314264134	25.1359301213599	20.2041880858958	165.818206359694
2100000	-65.0869920166779	NaN	-65.0869920166779	NaN	25.7607452976479	-58.555450499429	0.11491318058579	0	-1.92637133126075	25.7607452976479	99.5786982121212	182.94057763037
2200000	-70.9284598077607	NaN	-70.9284598077607	NaN	28.1802242237034	-63.5902544776954	0.069620704412197	0	-2.73303514407721	28.1802242237034	30.8941303226341	250.432971095098
2300000	-70.6420499792283	NaN	-70.6420499792283	NaN	25.0045521255717	-64.2001257680443	0.019988166193644	0	-1.83675402519591	25.0045521255717	12.524108580553	274.661681219671
